<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20200131;100000;1.1020400;1.1028400;1.1015000;1.1028000;65328
20200131;110000;1.1027100;1.1030300;1.1020000;1.1021500;76435
20200131;120000;1.1021500;1.1034200;1.1018000;1.1028000;95126
20200131;130000;1.1028000;1.1033500;1.1021000;1.1030400;94813
20200131;140000;1.1030300;1.1038700;1.1025000;1.1037200;83944
20200131;150000;1.1037200;1.1049300;1.1033000;1.1047400;98416
20200131;160000;1.1047400;1.1055800;1.1045000;1.1054900;104813
20200131;170000;1.1055100;1.1067500;1.1047000;1.1062700;103961
20200131;180000;1.1061800;1.1083600;1.1054000;1.1081200;120836
20200131;190000;1.1080600;1.1090400;1.1073900;1.1081100;127436
20200131;200000;1.1081600;1.1084500;1.1076000;1.1082900;87582
20200131;210000;1.1082800;1.1083600;1.1076000;1.1079900;69886
20200131;220000;1.1080000;1.1090200;1.1078000;1.1089400;78526
20200131;230000;1.1089100;1.1091900;1.1083000;1.1090400;56848
20200201;000000;1.1089600;1.1095700;1.1088000;1.1093700;36467
20200201;010000;1.1091700;1.1091700;1.1091700;1.1091700;1
20200202;210000;1.1084600;1.1090100;1.1081000;1.1083300;76
20200202;220000;1.1082000;1.1083900;1.1081000;1.1083400;5
20200202;230000;1.1082900;1.1085400;1.1080000;1.1082000;56
20200203;000000;1.1082000;1.1095000;1.1079000;1.1094000;216
20200203;010000;1.1093600;1.1095000;1.1078800;1.1084900;85073
20200203;020000;1.1084400;1.1091000;1.1083500;1.1089100;29358
20200203;030000;1.1089100;1.1089100;1.1078000;1.1080000;25391
20200203;040000;1.1081500;1.1087700;1.1078000;1.1083000;39512
20200203;050000;1.1083000;1.1084700;1.1079000;1.1081200;33342
20200203;060000;1.1081900;1.1084000;1.1078000;1.1081200;21869
20200203;070000;1.1081200;1.1085000;1.1080000;1.1081600;12510
20200203;080000;1.1081700;1.1085000;1.1080000;1.1083500;18878
20200203;090000;1.1084300;1.1086300;1.1080000;1.1082400;22108
20200203;100000;1.1082300;1.1084700;1.1068000;1.1074700;58501
20200203;110000;1.1074400;1.1078500;1.1063000;1.1066100;70771
20200203;120000;1.1066100;1.1072800;1.1058000;1.1072400;56854
20200203;130000;1.1072600;1.1074300;1.1063000;1.1064800;56603
20200203;140000;1.1064900;1.1068200;1.1057000;1.1062600;57889
20200203;150000;1.1062700;1.1066700;1.1060000;1.1065800;37693
20200203;160000;1.1065600;1.1066700;1.1060000;1.1063100;41165
20200203;170000;1.1063100;1.1063800;1.1043000;1.1047000;55356
20200203;180000;1.1047300;1.1059800;1.1034500;1.1055100;76418
20200203;190000;1.1055600;1.1065800;1.1052000;1.1062000;66290
20200203;200000;1.1061900;1.1066400;1.1056000;1.1058000;45891
20200203;210000;1.1058600;1.1063900;1.1057000;1.1060500;34698
20200203;220000;1.1061400;1.1065400;1.1059000;1.1063400;30627
20200203;230000;1.1062600;1.1064000;1.1055000;1.1057000;32051
20200204;000000;1.1058100;1.1061500;1.1056000;1.1059000;16137
20200204;010000;1.1058900;1.1061500;1.1055100;1.1058300;19089
20200204;020000;1.1058900;1.1063100;1.1056000;1.1061000;11633
20200204;030000;1.1062000;1.1063100;1.1058000;1.1060700;17332
20200204;040000;1.1060900;1.1064200;1.1058000;1.1060000;27471
20200204;050000;1.1060100;1.1060500;1.1054000;1.1058500;24813
20200204;060000;1.1058500;1.1060000;1.1054000;1.1057600;27514
20200204;070000;1.1058000;1.1061000;1.1056000;1.1059400;19852
20200204;080000;1.1059900;1.1063500;1.1056000;1.1058000;19089
20200204;090000;1.1058400;1.1063700;1.1057000;1.1059000;31046
20200204;100000;1.1058800;1.1059100;1.1047000;1.1050100;53789
20200204;110000;1.1050200;1.1059300;1.1048000;1.1057000;73337
20200204;120000;1.1057800;1.1061300;1.1051000;1.1055700;65902
20200204;130000;1.1055700;1.1057200;1.1048000;1.1055000;51843
20200204;140000;1.1055500;1.1058100;1.1050000;1.1054100;41574
20200204;150000;1.1053200;1.1054200;1.1041000;1.1043700;46029
20200204;160000;1.1044100;1.1051000;1.1041000;1.1044400;57889
20200204;170000;1.1044400;1.1047000;1.1039900;1.1044500;54131
20200204;180000;1.1044400;1.1048400;1.1032000;1.1038300;71642
20200204;190000;1.1038400;1.1043200;1.1031000;1.1042700;52145
20200204;200000;1.1042800;1.1045300;1.1035000;1.1037100;46319
20200204;210000;1.1036600;1.1045000;1.1035000;1.1041000;28553
20200204;220000;1.1041000;1.1044500;1.1039000;1.1041700;24111
20200204;230000;1.1041000;1.1044700;1.1039000;1.1044300;29521
20200205;000000;1.1044300;1.1046000;1.1041000;1.1043300;16588
20200205;010000;1.1043400;1.1045600;1.1039200;1.1044100;25839
20200205;020000;1.1044700;1.1046000;1.1042000;1.1044600;11357
20200205;030000;1.1044300;1.1045000;1.1040000;1.1043100;20089
20200205;040000;1.1043100;1.1044000;1.1038000;1.1040400;27893
20200205;050000;1.1040400;1.1041000;1.1032000;1.1034400;24955
20200205;060000;1.1034400;1.1036700;1.1032000;1.1034200;19230
20200205;070000;1.1034100;1.1035400;1.1032000;1.1034000;11349
20200205;080000;1.1034200;1.1038200;1.1032000;1.1037800;16815
20200205;090000;1.1037800;1.1038300;1.1033000;1.1035600;26629
20200205;100000;1.1036000;1.1040600;1.1034000;1.1036900;58518
20200205;110000;1.1036900;1.1047900;1.1035000;1.1041000;146450
20200205;120000;1.1042000;1.1043000;1.1020000;1.1025900;138893
20200205;130000;1.1025900;1.1030000;1.1016000;1.1019000;85183
20200205;140000;1.1019200;1.1026000;1.1012000;1.1021700;95242
20200205;150000;1.1021700;1.1023400;1.1017000;1.1022300;60625
20200205;160000;1.1022400;1.1023300;1.1006000;1.1012400;112840
20200205;170000;1.1012400;1.1014300;1.0998000;1.1003100;88937
20200205;180000;1.1002000;1.1009600;1.0995000;1.1002200;111576
20200205;190000;1.1002100;1.1006500;1.0997000;1.1005000;83911
20200205;200000;1.1006200;1.1007000;1.0999000;1.1000500;46792
20200205;210000;1.1001100;1.1003100;1.0998000;1.1002300;31925
20200205;220000;1.1002200;1.1003000;1.0992000;1.0995900;42267
20200205;230000;1.0995800;1.1000000;1.0994000;1.0997500;32615
20200206;000000;1.0997700;1.1000000;1.0995000;1.0998900;21165
20200206;010000;1.0998000;1.1000500;1.0995000;1.0999500;21303
20200206;020000;1.0999600;1.1000500;1.0997000;1.1000400;16339
20200206;030000;1.1000300;1.1001000;1.0994000;1.0996500;28407
20200206;040000;1.0996300;1.1000200;1.0993000;1.0997900;38208
20200206;050000;1.0998000;1.0999000;1.0995000;1.0997600;24100
20200206;060000;1.0997600;1.0999000;1.0995000;1.0996700;21010
20200206;070000;1.0997100;1.0998300;1.0993000;1.0995600;35310
20200206;080000;1.0995600;1.0999900;1.0992000;1.0999600;28866
20200206;090000;1.0999600;1.1002200;1.0994000;1.1000100;43846
20200206;100000;1.1000000;1.1005700;1.0996000;1.1003000;63670
20200206;110000;1.1002800;1.1014000;1.0992000;1.0995600;102678
20200206;120000;1.0995600;1.1007600;1.0994000;1.0998900;90604
20200206;130000;1.0998900;1.1006000;1.0997000;1.1001200;56109
20200206;140000;1.1001200;1.1003000;1.0994000;1.1000300;55653
